User,Emp_type,Gate,Gender,Department,Country,Function,Job_ control_point,Scale,Promotions,Intern_Asig,Age,Seniority,Dependents,Job Code,Comparatio,Status
H238709,Regular employee,2,Male,G,India,Operations,F2-ESG,15,1,No,54,1,4,PF10,1.155543474,Active
HBAO258,Regular employee,2,Male,C,Thailand,Operations,H2-ESG,21,2,No,47,26,1,PC11,1.212335931,Active
HBAR605,CommuterOut-Halco,2,Male,C,Brunei,Operations,F2-ESG,15,3,Yes,47,24,0,PC10,0.702072088,Active
HBAO792,Regular employee,1,Male,G,Brunei,Operations,C1-ESG,4,1,Yes,47,27,0,PS03,1.366488203,Active
HBAO783,Regular employee,2,Male,D,Brunei,Operations,E2-ESG,11,1,Yes,48,25,4,CC06,1.27665421,Active
HBAR881,Regular employee,2,Male,G,Brunei,Operations,E2-ESG,11,1,Yes,49,25,3,PS09,1.159339049,Active
H002271,Regular employee,6,Male,B,Japan,Operations,J3-ESG,28,1,No,59,36,2,R453,0.964507198,Active
HBAF981,Regular employee,3,Male,D,Malaysia,Operations,H2-ESG,21,1,No,60,36,4,CC11,1.78276264,Active
HBAP354,Regular employee,3,Male,D,Malaysia,Operations,H2-ESG,21,1,Yes,52,30,6,CC11,1.756229054,Active
H051731,Regular employee,3,Male,B,Japan,Operations Engineering,H3-ESG,22,1,No,53,27,4,K941,0.930683765,Active
HBB0583,Regular employee,3,Male,D,Malaysia,Operations,H2-ESG,21,1,No,53,24,3,CC11,1.753985138,Active
HBAY384,CommuterOut-Halco,2,Male,G,Malaysia,Operations,D2-ESG,8,2,Yes,60,33,0,PS08,0.837464108,Active
HB54355,Expat-Halco,4,Male,C,Brunei,Operations,I2-ESG,24,2,Yes,51,17,4,FF05,1.209391748,Active
HBB0747,Regular employee,3,Male,A,Brunei,Sales/Marketing,I3-ESG,25,2,Yes,57,1,1,L041,0.856813314,Active
MSFW151,Expat-Halco,4,Male,G,Malaysia,Operations,I2-ESG,24,1,Yes,62,34,1,FF05,0.795505291,Active
H071981,CommuterOut-Halco,5,Male,C,Malaysia,Operations,I3-ESG,25,2,Yes,58,40,2,R454,1.177627353,Active
H226604,Regular employee,2,Male,A,Thailand,Operations Engineering,LVPE-ESG,20,1,Yes,47,2,4,LC32,1,Active
HBAQ425,Expat-Halco,3,Male,G,Brunei,Operations Engineering,J1-ESG,26,2,Yes,46,20,3,PE01,0.729797777,Active
HBB5823,Regular employee,1,Male,B,Japan,Operations,C2-ESG,5,1,Yes,50,20,2,ZZ04,1.258085255,Active
HX40277,CommuterOut-Halco,4,Male,C,Brunei,Operations,I2-ESG,24,4,Yes,44,13,4,FF05,1.137859609,Active
H204073,CommuterOut-Halco,2,Male,B,Brunei,Operations,F2-ESG,15,3,Yes,48,3,0,ZZ10,0.977259272,Active
H223057,CommuterOut-Halco,2,Male,C,Brunei,Operations,E2-ESG,11,1,Yes,45,2,0,PC09,0.456127977,Active
HAL3463,Regular employee,2,Male,A,Thailand,Operations Engineering,LVPE-ESG,20,2,Yes,45,19,3,LC32,1,Active
HBB6659,Regular employee,3,Male,D,Malaysia,Operations,H2-ESG,21,1,Yes,51,19,6,CC11,1.566530672,Active
HBB3020,Regular employee,2,Male,I,Malaysia,Operations Engineering,VPE-ESG,19,1,No,40,19,2,MV03,1,Active
HBT6740,Expat-ShortTerm/Dev,2,Male,I,Myanmar,Operations Engineering,VPE-ESG,19,1,Yes,54,3,1,DV01,1,Active
HBAR966,Regular employee,4,Male,I,Malaysia,Operations,I1-ESG,23,1,No,43,20,3,SP11,1.149862707,Active
HBB1055,Regular employee,2,Male,I,Malaysia,Operations Engineering,VPE-ESG,19,1,Yes,48,23,3,DV01,1,Active
HBB8951,Regular employee,2,Male,I,Malaysia,Operations Engineering,VPE-ESG,19,1,Yes,57,30,4,DV01,1,Active
HBAL209,Regular employee,2,Male,I,Malaysia,Operations Engineering,VPE-ESG,19,1,Yes,54,25,4,DV01,1,Active
HB82619,CommuterOut-Halco,2,Male,I,Thailand,Operations Engineering,VPE-ESG,19,1,Yes,41,9,1,MV01,1,Active
HBB8116,CommuterOut-Halco,4,Male,G,Brunei,Operations,I2-ESG,24,3,Yes,47,18,1,FF05,0.815945966,Active
